"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AASS",41.7276050897624,2.09609806568588,0.133564128460977,15.6935704956012,1.67370600714323e-55,2.03516682635204e-54
"ABCA1",98.3699154986077,3.56779502308137,0.197694554804951,18.0470070437773,8.32832051267217e-73,1.35833097057224e-71
"ABCA13",14.8478033335998,3.80851033400583,0.496003035832898,7.67840125738445,1.61086251115688e-14,5.30298200524549e-14
"ABCA6",80.3828317448718,2.50202218203502,0.186980225312344,13.3812127879057,7.78663669819713e-41,6.92581408751914e-40
"ABCC8",15.0965149547188,-2.09310468003077,0.512711494287546,-4.0824219923903,4.4568774239796e-05,7.87140368959673e-05
"ABCC9",56.9956137385925,2.29081131483925,0.111956998724589,20.4615284523176,4.74280216834901e-93,1.04655509611878e-91
"ABCD2",1.53040288011968,2.93006048001043,0.328113695625975,8.93001578132988,4.25948025621644e-19,1.80393737636262e-18
"ACAP2",56.9749144430204,2.46183207026563,0.074030745988317,33.2541842905938,1.77594358521104e-242,1.78845862389877e-240
"ACER2",3.06226600135637,2.18649830330357,0.224803140844995,9.72628004699984,2.3295670522934e-22,1.16556030742456e-21
"ACOXL",12.3260508231737,2.02066060321392,0.257745048057686,7.83976498652917,4.51390440246893e-15,1.53794585738071e-14
"ACR",1.66647332294256,-2.91758911973685,0.519177155739731,-5.61964078635129,1.9135489386326e-08,4.35306273865709e-08
"ACTR3C",8.74391337462948,3.19052435781307,0.1634578144471,19.5189466383427,7.57845428594921e-85,1.47489891777779e-83
"ACVR2B",15.6289638854799,2.23549058571173,0.118230210870975,18.90794720946,9.81019452104417e-80,1.77780155541386e-78
"ADAM32",2.87098160171289,2.19479582336373,0.224802913535498,9.76320007977636,1.61962313233649e-22,8.17163587784431e-22
"ADGRL3",11.3584935234142,2.34397501414602,0.224833265850535,10.4253923692247,1.89874011114894e-25,1.0674632959082e-24
"ADGRV1",56.9490497236929,4.78660096683283,0.217406570433975,22.0168183384618,1.98736504731965e-107,5.32507366696989e-106
"ADRA1A",5.11667190778653,2.62279500257391,0.337247536660934,7.77706200182225,7.42282318280148e-15,2.4956186837987e-14
"AFF3",30.5946491746379,2.12048416231629,0.235699132100145,8.99657178803411,2.32875775578256e-19,9.97801545560175e-19
"AFF4",135.93350020826,2.25066997418231,0.0900309239721124,24.998854558901,6.29127058056118e-138,2.34827151893832e-136
"AGL",28.2680853600152,2.58189795177614,0.097294826270414,26.5368473406819,3.64302871797019e-155,1.72986221244123e-153
"AGO3",57.2294989896453,2.20557821464915,0.0639166635100778,34.5070924157578,6.27894194038204e-261,7.41854518231752e-259
"AHI1",40.4893655526261,2.00491276689627,0.0783540587351384,25.5878610407855,2.08236885363316e-144,8.49074582846889e-143
